TOWN_NAME,SEC_NAME,年份基準,婦女生育人口數佔比,三階段_幼年人口佔比,總人口數
中山區,下埤頭地區,2022,0.217,0.0995,44832
中山區,下埤頭地區,2023,0.2126,0.096,43870
中山區,下埤頭地區,2024,0.2081,0.0935,42931
中山區,下埤頭地區,2025,0.2033,0.0915,41981
中山區,下埤頭地區,2026,0.1969,0.0887,40993
中山區,下埤頭地區,2027,0.1921,0.0856,40084
中山區,下埤頭地區,2028,0.1856,0.0831,39282
中山區,下埤頭地區,2029,0.1788,0.0809,38492
中山區,下埤頭地區,2030,0.1724,0.0747,37581
中山區,下埤頭地區,2031,0.1625,0.0709,36723
中山區,下埤頭地區,2032,0.156,0.0674,35945
中山區,下埤頭地區,2033,0.1489,0.0645,35159
中山區,下埤頭地區,2034,0.1414,0.0609,34381
中山區,下埤頭地區,2035,0.1342,0.0584,33604
中山區,下埤頭地區,2036,0.1295,0.0547,32841
中山區,下埤頭地區,2037,0.1231,0.0522,32099
中山區,下埤頭地區,2038,0.1153,0.0474,31366
中山區,下埤頭地區,2039,0.1085,0.0457,30873
中山區,下埤頭地區,2040,0.1025,0.0414,30161
中山區,下埤頭地區,2041,0.096,0.0369,29479
中山區,圓山地區,2022,0.2194,0.102,28221
中山區,圓山地區,2023,0.2156,0.0999,27639
中山區,圓山地區,2024,0.2106,0.0966,27068
中山區,圓山地區,2025,0.2035,0.0963,26565
中山區,圓山地區,2026,0.1956,0.0941,26044
中山區,圓山地區,2027,0.192,0.089,25615
中山區,圓山地區,2028,0.1857,0.0857,25035
中山區,圓山地區,2029,0.1769,0.0824,24587
中山區,圓山地區,2030,0.1707,0.0762,24018
中山區,圓山地區,2031,0.1632,0.0715,23525
中山區,圓山地區,2032,0.1541,0.0685,23041
中山區,圓山地區,2033,0.1478,0.0623,22583
中山區,圓山地區,2034,0.1402,0.0593,22098
中山區,圓山地區,2035,0.1325,0.0563,21601
中山區,圓山地區,2036,0.1268,0.0504,21195
中山區,圓山地區,2037,0.1198,0.0501,20725
中山區,圓山地區,2038,0.112,0.0478,20291
中山區,圓山地區,2039,0.106,0.0422,19844
中山區,圓山地區,2040,0.0982,0.04,19442
中山區,圓山地區,2041,0.0903,0.0361,19009
中山區,大直地區,2022,0.2133,0.15,37414
中山區,大直地區,2023,0.2108,0.144,36563
中山區,大直地區,2024,0.2078,0.1378,35862
中山區,大直地區,2025,0.2054,0.1328,34950
中山區,大直地區,2026,0.2023,0.1253,34326
中山區,大直地區,2027,0.2017,0.1127,33402
中山區,大直地區,2028,0.193,0.1062,32785
中山區,大直地區,2029,0.1915,0.0977,32065
中山區,大直地區,2030,0.1859,0.0894,31384
中山區,大直地區,2031,0.1813,0.0816,30792
中山區,大直地區,2032,0.1806,0.0732,29983
中山區,大直地區,2033,0.1759,0.0618,29288
中山區,大直地區,2034,0.1735,0.0576,28724
中山區,大直地區,2035,0.1696,0.0531,28086
中山區,大直地區,2036,0.1651,0.0512,27652
中山區,大直地區,2037,0.1534,0.0506,27066
中山區,大直地區,2038,0.1513,0.0478,26327
中山區,大直地區,2039,0.1444,0.045,25796
中山區,大直地區,2040,0.1424,0.0426,25228
中山區,大直地區,2041,0.1369,0.042,24534
中山區,新庄地區,2022,0.2195,0.0885,23323
中山區,新庄地區,2023,0.2141,0.0866,22877
中山區,新庄地區,2024,0.2076,0.0852,22461
中山區,新庄地區,2025,0.2008,0.0844,21958
中山區,新庄地區,2026,0.1926,0.0842,21542
中山區,新庄地區,2027,0.1856,0.0837,21089
中山區,新庄地區,2028,0.179,0.0806,20650
中山區,新庄地區,2029,0.1721,0.0781,20239
中山區,新庄地區,2030,0.1646,0.0747,19845
中山區,新庄地區,2031,0.1582,0.0703,19427
中山區,新庄地區,2032,0.1498,0.0668,19050
中山區,新庄地區,2033,0.1429,0.0616,18620
中山區,新庄地區,2034,0.1364,0.0581,18272
中山區,新庄地區,2035,0.1291,0.0548,17892
中山區,新庄地區,2036,0.1234,0.0496,17493
中山區,新庄地區,2037,0.1151,0.0486,17072
中山區,新庄地區,2038,0.1076,0.0459,16693
中山區,新庄地區,2039,0.1025,0.0422,16311
中山區,新庄地區,2040,0.0952,0.0402,15973
中山區,新庄地區,2041,0.0886,0.0384,15637
中山區,朱厝崙地區,2022,0.2104,0.1088,22445
中山區,朱厝崙地區,2023,0.2063,0.1052,21995
中山區,朱厝崙地區,2024,0.2009,0.1026,21558
中山區,朱厝崙地區,2025,0.1968,0.1014,21087
中山區,朱厝崙地區,2026,0.1901,0.0993,20669
中山區,朱厝崙地區,2027,0.1855,0.096,20252
中山區,朱厝崙地區,2028,0.1807,0.0923,19800
中山區,朱厝崙地區,2029,0.1752,0.0876,19435
