TOWN_NAME,年份基準,年份基準_民國年,size_counts,floorarea,age_base921_建於921修法前_base2003,age_base921_建於921修法後_base2003,都更機會_大於30年,都更機會_高液化且大於20年,都更機會_沒有,都更機會_已在都更範圍,都更機會_大於30年_r,都更機會_高液化且大於20年_r,都更機會_沒有_r,都更機會_已在都更範圍_r
中山區,2022,111,23198,17974100,21449,1749,8611,8899,2625,3063,0.37,0.38,0.11,0.13
中正區,2022,111,15941,11456279,14947,994,8374,2145,1421,4001,0.53,0.13,0.09,0.25
信義區,2022,111,20382,12582066,19591,791,12766,117,2091,5408,0.63,0.01,0.1,0.27
內湖區,2022,111,21854,17024965,19007,2847,13916,47,6904,987,0.64,0.0,0.32,0.05
北投區,2022,111,24065,12011319,22349,1716,17424,1865,3576,1200,0.72,0.08,0.15,0.05
南港區,2022,111,10630,7431003,9394,1236,6708,91,1740,2091,0.63,0.01,0.16,0.2
士林區,2022,111,30684,14590337,28765,1919,14545,9795,3271,3073,0.47,0.32,0.11,0.1
大同區,2022,111,16529,7019130,15583,946,3869,8214,959,3487,0.23,0.5,0.06,0.21
大安區,2022,111,28915,18878751,27675,1240,17969,3060,1919,5967,0.62,0.11,0.07,0.21
文山區,2022,111,23036,11653754,21184,1852,16464,50,4746,1776,0.71,0.0,0.21,0.08
松山區,2022,111,15739,11879263,15209,530,9701,2967,978,2093,0.62,0.19,0.06,0.13
萬華區,2022,111,22108,7704360,21458,650,11245,6955,1033,2875,0.51,0.31,0.05,0.13
