TOWN_NAME,年份基準,婦女數,幼年人口,總人口數,婦女生育人口數佔比,三階段_幼年人口佔比
中山區,2022,45030,23131,209294,0.2152,0.1105
中山區,2023,43271,21956,204955,0.2111,0.1071
中山區,2024,41511,20884,200837,0.2067,0.104
中山區,2025,39630,19980,196440,0.2017,0.1017
中山區,2026,37645,18904,192531,0.1955,0.0982
中山區,2027,36176,17547,188670,0.1917,0.093
中山區,2028,34245,16484,184853,0.1853,0.0892
中山區,2029,32470,15396,181158,0.1792,0.085
中山區,2030,30674,14084,177254,0.1731,0.0795
中山區,2031,28836,12879,173560,0.1661,0.0742
中山區,2032,27147,11778,169964,0.1597,0.0693
中山區,2033,25475,10612,166304,0.1532,0.0638
中山區,2034,23952,9710,162787,0.1471,0.0596
中山區,2035,22415,8915,159302,0.1407,0.056
中山區,2036,21140,8151,156026,0.1355,0.0522
中山區,2037,19529,7737,152645,0.1279,0.0507
中山區,2038,18130,7090,149232,0.1215,0.0475
中山區,2039,16868,6505,146247,0.1153,0.0445
中山區,2040,15608,5982,143150,0.109,0.0418
中山區,2041,14328,5444,139919,0.1024,0.0389
中正區,2022,31428,23084,147218,0.2135,0.1568
中正區,2023,30490,21864,144426,0.2111,0.1514
中正區,2024,29673,20538,141708,0.2094,0.1449
中正區,2025,28692,19238,138937,0.2065,0.1385
中正區,2026,27659,17446,136289,0.2029,0.128
中正區,2027,26866,15718,133776,0.2008,0.1175
中正區,2028,25842,14269,131161,0.197,0.1088
中正區,2029,24827,12855,128875,0.1926,0.0997
中正區,2030,23833,11466,126407,0.1885,0.0907
中正區,2031,22845,10232,124269,0.1838,0.0823
中正區,2032,21892,9082,121971,0.1795,0.0745
中正區,2033,20938,8083,119696,0.1749,0.0675
中正區,2034,19877,7352,117307,0.1694,0.0627
中正區,2035,18903,6851,115054,0.1643,0.0595
中正區,2036,18099,6269,112876,0.1603,0.0555
中正區,2037,17168,6093,110715,0.1551,0.055
中正區,2038,16201,5809,108658,0.1491,0.0535
中正區,2039,15374,5520,106730,0.144,0.0517
中正區,2040,14635,5319,104757,0.1397,0.0508
中正區,2041,13862,4977,102851,0.1348,0.0484
信義區,2022,43695,21122,201313,0.2171,0.1049
信義區,2023,41873,20122,196804,0.2128,0.1022
信義區,2024,40006,19226,192345,0.208,0.1
信義區,2025,38221,18299,188019,0.2033,0.0973
信義區,2026,36319,17417,183881,0.1975,0.0947
信義區,2027,34654,16387,179849,0.1927,0.0911
信義區,2028,32929,15370,175969,0.1871,0.0873
信義區,2029,31136,14252,171965,0.1811,0.0829
信義區,2030,29434,13192,168092,0.1751,0.0785
信義區,2031,27739,12023,164386,0.1687,0.0731
信義區,2032,25892,11011,160635,0.1612,0.0685
信義區,2033,24362,10076,157061,0.1551,0.0642
信義區,2034,22759,9192,153499,0.1483,0.0599
信義區,2035,21352,8330,149984,0.1424,0.0555
信義區,2036,20001,7682,146458,0.1366,0.0525
信義區,2037,18568,7299,143207,0.1297,0.051
信義區,2038,17159,6670,139875,0.1227,0.0477
信義區,2039,15757,6158,136675,0.1153,0.0451
信義區,2040,14399,5680,133682,0.1077,0.0425
信義區,2041,13165,5191,130628,0.1008,0.0397
內湖區,2022,62034,35471,266368,0.2329,0.1332
內湖區,2023,60294,34246,263663,0.2287,0.1299
內湖區,2024,58857,32769,259579,0.2267,0.1262
內湖區,2025,56891,31665,256046,0.2222,0.1237
內湖區,2026,54678,30289,253018,0.2161,0.1197
內湖區,2027,53056,28569,250111,0.2121,0.1142
內湖區,2028,51222,26575,246115,0.2081,0.108
內湖區,2029,49377,25071,243401,0.2029,0.103
內湖區,2030,47518,23218,239528,0.1984,0.0969
內湖區,2031,45628,21578,236379,0.193,0.0913
內湖區,2032,43807,19824,232650,0.1883,0.0852
內湖區,2033,41620,18659,230309,0.1807,0.081
內湖區,2034,39968,17059,226496,0.1765,0.0753
內湖區,2035,38161,16109,223018,0.1711,0.0722
內湖區,2036,36419,15180,220069,0.1655,0.069
內湖區,2037,34518,14749,217258,0.1589,0.0679
內湖區,2038,32699,14123,214116,0.1527,0.066
內湖區,2039,30849,13322,211033,0.1462,0.0631
內湖區,2040,29288,12629,207499,0.1411,0.0609
內湖區,2041,27701,11871,204275,0.1356,0.0581
北投區,2022,52380,28492,234565,0.2233,0.1215
北投區,2023,50343,27234,230963,0.218,0.1179
北投區,2024,48690,25723,226993,0.2145,0.1133
北投區,2025,47006,24568,224079,0.2098,0.1096
北投區,2026,45245,23077,220608,0.2051,0.1046
北投區,2027,43961,21576,217619,0.202,0.0991
北投區,2028,41961,20017,214510,0.1956,0.0933
北投區,2029,40403,18574,211387,0.1911,0.0879
北投區,2030,38104,16821,208103,0.1831,0.0808
北投區,2031,36104,15652,204972,0.1761,0.0764
北投區,2032,34485,14498,201939,0.1708,0.0718
北投區,2033,32967,13537,198490,0.1661,0.0682
北投區,2034,31435,12567,195522,0.1608,0.0643
北投區,2035,29831,11432,191963,0.1554,0.0596
北投區,2036,28511,10709,188455,0.1513,0.0568
北投區,2037,26988,10452,186261,0.1449,0.0561
北投區,2038,25206,9841,183102,0.1377,0.0537
北投區,2039,23982,9270,179691,0.1335,0.0516
北投區,2040,22475,8651,176791,0.1271,0.0489
北投區,2041,21225,7969,174083,0.1219,0.0458
南港區,2022,25402,12368,109460,0.2321,0.113
南港區,2023,24671,11995,107973,0.2285,0.1111
南港區,2024,23401,11592,105934,0.2209,0.1094
南港區,2025,22568,11342,104707,0.2155,0.1083
南港區,2026,21722,10633,102414,0.2121,0.1038
南港區,2027,20773,10147,100690,0.2063,0.1008
南港區,2028,19870,9584,98935,0.2008,0.0969
南港區,2029,18282,9065,97057,0.1884,0.0934
南港區,2030,17539,8479,95708,0.1833,0.0886
南港區,2031,16693,7413,94070,0.1775,0.0788
南港區,2032,16011,6882,91948,0.1741,0.0748
南港區,2033,15168,6353,90522,0.1676,0.0702
南港區,2034,14096,5849,89246,0.1579,0.0655
南港區,2035,13411,5322,87765,0.1528,0.0606
南港區,2036,12752,5058,86154,0.148,0.0587
南港區,2037,12048,4837,84400,0.1427,0.0573
南港區,2038,11312,4610,82893,0.1365,0.0556
南港區,2039,10735,3955,81014,0.1325,0.0488
南港區,2040,10083,3675,79880,0.1262,0.046
南港區,2041,9114,3372,78096,0.1167,0.0432
士林區,2022,55647,28562,257267,0.2163,0.111
士林區,2023,53471,27297,251880,0.2123,0.1084
士林區,2024,51315,25932,246198,0.2084,0.1053
士林區,2025,49424,24641,241129,0.205,0.1022
士林區,2026,47161,23159,236400,0.1995,0.098
士林區,2027,45221,21495,231838,0.1951,0.0927
士林區,2028,43069,20423,226490,0.1902,0.0902
士林區,2029,40872,18987,221718,0.1843,0.0856
士林區,2030,38928,17375,217125,0.1793,0.08
士林區,2031,36844,15868,212856,0.1731,0.0745
士林區,2032,34657,14583,207644,0.1669,0.0702
士林區,2033,32803,12951,203207,0.1614,0.0637
士林區,2034,30879,11971,199470,0.1548,0.06
士林區,2035,28874,11179,195096,0.148,0.0573
士林區,2036,27089,10411,190954,0.1419,0.0545
士林區,2037,25410,9983,186913,0.1359,0.0534
士林區,2038,23761,9260,182806,0.13,0.0507
士林區,2039,22218,8636,178905,0.1242,0.0483
士林區,2040,20713,7953,175030,0.1183,0.0454
士林區,2041,19466,7424,171679,0.1134,0.0432
大同區,2022,26176,13917,117624,0.2225,0.1183
大同區,2023,25413,13351,115929,0.2192,0.1152
大同區,2024,24619,12742,114185,0.2156,0.1116
大同區,2025,23715,12219,112420,0.211,0.1087
大同區,2026,22771,11595,110874,0.2054,0.1046
大同區,2027,21945,10782,109226,0.2009,0.0987
大同區,2028,20947,10270,107505,0.1948,0.0955
大同區,2029,20005,9666,105924,0.1889,0.0913
大同區,2030,19102,9058,104329,0.1831,0.0868
大同區,2031,18145,8384,102660,0.1767,0.0817
大同區,2032,17277,7717,101045,0.171,0.0764
大同區,2033,16467,7135,99485,0.1655,0.0717
大同區,2034,15593,6491,97792,0.1595,0.0664
大同區,2035,14832,6040,96254,0.1541,0.0628
大同區,2036,14086,5589,94612,0.1489,0.0591
大同區,2037,13293,5383,93012,0.1429,0.0579
大同區,2038,12419,5118,91407,0.1359,0.056
大同區,2039,11731,4886,89977,0.1304,0.0543
大同區,2040,10999,4484,88372,0.1245,0.0507
大同區,2041,10311,4236,86936,0.1186,0.0487
大安區,2022,57820,41492,283907,0.2037,0.1461
大安區,2023,55638,38898,276773,0.201,0.1405
大安區,2024,53532,36182,269713,0.1985,0.1342
大安區,2025,51435,33522,262478,0.196,0.1277
大安區,2026,49081,30432,255725,0.1919,0.119
大安區,2027,47400,27137,249267,0.1902,0.1089
大安區,2028,45117,24400,242608,0.186,0.1006
大安區,2029,43013,21616,236566,0.1818,0.0914
大安區,2030,40960,18778,230182,0.1779,0.0816
大安區,2031,38925,16489,224377,0.1735,0.0735
大安區,2032,36962,14430,218600,0.1691,0.066
大安區,2033,34983,12698,212795,0.1644,0.0597
大安區,2034,33009,11278,207372,0.1592,0.0544
大安區,2035,31218,10132,202055,0.1545,0.0501
大安區,2036,29605,9170,196839,0.1504,0.0466
大安區,2037,27946,8579,191681,0.1458,0.0448
大安區,2038,26206,7904,187092,0.1401,0.0422
大安區,2039,24674,7409,182357,0.1353,0.0406
大安區,2040,23035,6935,177759,0.1296,0.039
大安區,2041,21620,6384,173169,0.1248,0.0369
文山區,2022,55807,30529,250310,0.223,0.122
文山區,2023,54198,29070,246458,0.2199,0.118
文山區,2024,52082,26974,241825,0.2154,0.1115
文山區,2025,50156,25916,238255,0.2105,0.1088
文山區,2026,48345,23972,234693,0.206,0.1021
文山區,2027,47022,21999,230571,0.2039,0.0954
文山區,2028,45214,20678,227110,0.1991,0.091
文山區,2029,43366,18994,222825,0.1946,0.0852
文山區,2030,41558,17443,219203,0.1896,0.0796
文山區,2031,39881,16064,216196,0.1845,0.0743
文山區,2032,38017,14786,213412,0.1781,0.0693
文山區,2033,36250,13685,209959,0.1727,0.0652
文山區,2034,34703,12773,206449,0.1681,0.0619
文山區,2035,33001,11794,203154,0.1624,0.0581
文山區,2036,31586,10736,199145,0.1586,0.0539
文山區,2037,30029,10403,195632,0.1535,0.0532
文山區,2038,27969,9848,192505,0.1453,0.0512
文山區,2039,26676,9370,189422,0.1408,0.0495
文山區,2040,24960,8858,186311,0.134,0.0475
文山區,2041,23565,8339,182783,0.1289,0.0456
松山區,2022,39581,26280,187770,0.2108,0.14
松山區,2023,38031,24719,183624,0.2071,0.1346
松山區,2024,36616,23054,179476,0.204,0.1285
松山區,2025,35220,21450,175407,0.2008,0.1223
松山區,2026,33907,19433,171802,0.1974,0.1131
松山區,2027,32899,17196,168086,0.1957,0.1023
松山區,2028,31557,15626,164570,0.1918,0.095
松山區,2029,30247,13832,160683,0.1882,0.0861
松山區,2030,28568,12478,157120,0.1818,0.0794
松山區,2031,27210,11115,153582,0.1772,0.0724
松山區,2032,25775,9911,150113,0.1717,0.066
松山區,2033,24514,8861,146859,0.1669,0.0603
松山區,2034,23232,7930,143375,0.162,0.0553
松山區,2035,21981,7223,140219,0.1568,0.0515
松山區,2036,20963,6573,136814,0.1532,0.048
松山區,2037,19590,6265,133767,0.1464,0.0468
松山區,2038,18326,5890,130807,0.1401,0.045
松山區,2039,17259,5527,127809,0.135,0.0432
松山區,2040,16188,5155,124837,0.1297,0.0413
松山區,2041,15155,4778,122097,0.1241,0.0391
萬華區,2022,35815,14628,163974,0.2184,0.0892
萬華區,2023,34201,13897,160242,0.2134,0.0867
萬華區,2024,32632,13247,156561,0.2084,0.0846
萬華區,2025,31006,12968,153093,0.2025,0.0847
萬華區,2026,29235,12517,149708,0.1953,0.0836
萬華區,2027,27712,11750,146276,0.1895,0.0803
萬華區,2028,26107,11169,142944,0.1826,0.0781
萬華區,2029,24574,10478,140039,0.1755,0.0748
萬華區,2030,23077,9795,136803,0.1687,0.0716
萬華區,2031,21586,9027,133651,0.1615,0.0675
萬華區,2032,20096,8314,130519,0.154,0.0637
萬華區,2033,18671,7661,127596,0.1463,0.06
萬華區,2034,17392,6990,124549,0.1396,0.0561
萬華區,2035,16142,6409,121720,0.1326,0.0527
萬華區,2036,14991,5928,118903,0.1261,0.0499
萬華區,2037,13817,5515,116135,0.119,0.0475
萬華區,2038,12676,5131,113495,0.1117,0.0452
萬華區,2039,11682,4699,110774,0.1055,0.0424
萬華區,2040,10678,4267,108269,0.0986,0.0394
萬華區,2041,9686,3777,105747,0.0916,0.0357
