TOWN_NAME,cat_age,cat_age_index,values_2022,總人口_推估後_2022,values_2023,總人口_推估後_2023,values_2024,總人口_推估後_2024,values_2025,總人口_推估後_2025,values_2026,總人口_推估後_2026,values_2027,總人口_推估後_2027,values_2028,總人口_推估後_2028,values_2029,總人口_推估後_2029,values_2030,總人口_推估後_2030,values_2031,總人口_推估後_2031,values_2032,總人口_推估後_2032,values_2033,總人口_推估後_2033,values_2034,總人口_推估後_2034,values_2035,總人口_推估後_2035,values_2036,總人口_推估後_2036,values_2037,總人口_推估後_2037,values_2038,總人口_推估後_2038,values_2039,總人口_推估後_2039,values_2040,總人口_推估後_2040,values_2041,總人口_推估後_2041
中山區,0歲以上到未滿5歲,1,7305,212669,6621,208270,6023,203978,5566,199744,5206,195726,5159,192023,4883,188071,4651,184234,4404,180421,4184,176663,3945,173147,3752,169485,3505,165922,3269,162484,3027,159009,2829,155601,2639,152317,2477,149294,2274,146172,2129,143026
中山區,5歲以上到未滿10歲,2,8849,212669,8507,208270,7947,203978,7389,199744,6707,195726,5807,192023,5266,188071,4783,184234,4329,180421,4012,176663,3953,173147,3648,169485,3421,165922,3275,162484,3091,159009,2856,155601,2680,152317,2464,149294,2282,146172,2036,143026
中山區,10歲以上到未滿15歲,3,7821,212669,7651,208270,7680,203978,7830,199744,7715,195726,7492,192023,7203,188071,6732,184234,6206,180421,5484,176663,4633,173147,4142,169485,3662,165922,3230,162484,2913,159009,2848,155601,2597,152317,2413,149294,2260,146172,2085,143026
中山區,15歲以上總和,4,188694,212669,185491,208270,182328,203978,178959,199744,176098,195726,173565,192023,170719,188071,168068,184234,165482,180421,162983,176663,160616,173147,157943,169485,155334,165922,152710,162484,149978,159009,147068,155601,144401,152317,141940,149294,139356,146172,136776,143026
中正區,0歲以上到未滿5歲,1,5597,148103,4835,145311,4243,142655,3875,139957,3488,137304,3451,134730,3329,132236,3249,129937,3168,127497,3068,125391,2900,123154,2768,120831,2653,118528,2545,116233,2439,114072,2303,111938,2210,109918,2085,107999,1970,106060,1874,104207
中正區,5歲以上到未滿10歲,2,8834,148103,8227,145311,7457,142655,6549,139957,5719,137304,4669,134730,3935,132236,3361,129937,2989,127497,2645,125391,2667,123154,2557,120831,2536,118528,2473,116233,2354,114072,2246,111938,2134,109918,2022,107999,1941,106060,1814,104207
中正區,10歲以上到未滿15歲,3,9034,148103,9221,145311,9289,142655,9255,139957,8652,137304,8003,134730,7448,132236,6658,129937,5738,127497,4947,125391,3924,123154,3175,120831,2613,118528,2262,116233,1930,114072,1992,111938,1927,109918,1897,107999,1836,106060,1764,104207
中正區,15歲以上總和,4,124638,148103,123028,145311,121666,142655,120278,139957,119445,137304,118607,134730,117524,132236,116669,129937,115602,127497,114731,125391,113663,123154,112331,120831,110726,118528,108953,116233,107349,114072,105397,111938,103647,109918,101995,107999,100313,106060,98755,104207
信義區,0歲以上到未滿5歲,1,6909,203780,6362,199205,5835,194800,5359,190553,5020,186331,4885,182176,4634,178225,4360,174278,4170,170518,3910,166746,3700,163057,3527,159385,3324,155843,3094,152322,2886,148799,2648,145444,2488,142227,2303,139064,2103,135907,1935,132843
信義區,5歲以上到未滿10歲,2,7877,203780,7651,199205,7320,194800,6904,190553,6283,186331,5613,182176,5088,178225,4525,174278,4021,170518,3706,166746,3602,163057,3345,159385,3210,155843,3068,152322,2859,148799,2703,145444,2527,142227,2290,139064,2108,135907,1934,132843
